当 dāng
取 qǔ
用 yòng
合 hé
其 qí
逾 yú
千 qiān
跨 kuà
越 yuè
加 jiā
份 fèn
婚 hūn
利 lì
均 jūn
功 gōng
岗 gǎng
敲 qiāo
打 dǎ
着 zhuó
谐 xié
节 jié
拍 pāi
读 dú
却 què
活 huó
旋 xuán
律 lǜ
失 shī
插 chā
队 duì
待 dài
徒 tú
考 kǎo
春 chūn
韵 yùn
实 shí
果 guǒ
让 ràng
勇 yǒng
锐 ruì
任 rèn
既 jì
他 tā
诗 shī
付 fù
梓 zǐ
序 xù
样 yàng
兼 jiān
者 zhě
敬 jìng
亦 yì
亲 qīn
钦 qīn
想 xiǎng
指 zhǐ
侧 cè
论 lùn
弥 mí
神 shén
龙 lóng
尾 wěi
澈 chè
坦 tǎn
荡 dàng
瑕 xiá
呢 ní
还 huán
茂 mào
峻 jùn
岭 lǐng
山 shān
瀑 pù
匠 jiàng
胸 xiōng
揽 lǎn
丘 qiū
壑 hè
境 jìng
遐 xiá
思 sī
通 tōng
契 qì
恐 kǒng
谛 dì
岂 qǐ
止 zhǐ
骋 chěng
笔 bǐ
泼 pō
墨 mò
摹 mó
略 lüè
概 gài
谓 wèi
木 mù
柯 kē
荣 róng
句 jù
观 guān
令 líng
驰 chí
乍 zhà
暖 nuǎn
媚 mèi
树 shù
旺 wàng
篁 huáng
笋 sǔn
乔 qiáo
参 cān
绿 lǜ
犹 yóu
嫣 yān
皆 jiē
宋 sòng
娟 juān
秀 xiù
蒙 mēng
泽 zé
润 rùn
往 wǎng
知 zhī
济 jì
兄 xiōng
置 zhì
喙 huì
良 liáng
聚 jù
辄 zhé
丹 dān
遁 dùn
辞 cí
殊 shū
素 sù
露 lòu
瞻 zhān
恕 shù
弟 dì
胆 dǎn
苟 gǒu
善 shàn
矣 yǐ
唐 táng
揖 yī
难 nán
智 zhì
耶 yé
惟 wéi
倒 dǎo
宿 sù
儒 rú
气 qì
息 xī
妙 miào
痕 hén
迹 jì
罢 bà
里 lǐ
恭 gōng
罪 zuì
尊 zūn
诤 zhèng
曰 yuē
处 chǔ
公 gōng
何 hé
尝 cháng
跳 tiào
藩 fān
篱 lí
隶 lì
直 zhí
季 jì
什 shí
么 mó
逊 xùn
足 zú
求 qiú
远 yuǎn
原 yuán
色 sè
啧 zé
桂 guì
冠 guān
奉 fèng
札 zhá
获 huò
使 shǐ
转 zhuǎn
翰 hàn
采 cǎi
盈 yíng
馨 xīn
尚 shàng
积 jī
习 xí
刻 kè
雕 diāo
琢 zhuó
旧 jiù
绳 shéng
觉 jué
嘛 má
辅 fǔ
仁 rén
步 bù
晤 wù
绝 jué
识 shí
即 jí
早 zǎo
缓 huǎn
淡 dàn
稍 shāo
乃 nǎi
幽 yōu
邃 suì
咀 jǔ
嚼 jiáo
甘 gān
滋 zī
泛 fàn
慕 mù
升 shēng
仰 yǎng
织 zhī
欢 huān
她 tā
卫 wèi
庄 zhuāng
严 yán
圣 shèng
斯 sī
迂 yū
阔 kuò
酸 suān
腐 fǔ
攀 pān
词 cí
些 xiē
很 hěn
竟 jìng
朝 zhāo
夕 xī
形 xíng
陌 mò
路 lù
旦 dàn
分 fēn
手 shǒu
记 jì
忆 yì
常 cháng
楚 chǔ
玉 yù
峰 fēng
茶 chá
陈 chén
师 shī
搬 bān
楼 lóu
座 zuò
荒 huāng
废 fèi
恢 huī
昔 xī
且 qiě
比 bǐ
派 pài
信 xìn
包 bāo
园 yuán
声 shēng
农 nóng
毕 bì
浪 làng
涯 yá
回 huí
走 zǒu
寄 jì
偏 piān
僻 pì
困 kùn
室 shì
破 pò
庙 miào
暴 bào
午 wǔ
倾 qīng
塌 tā
封 fēng
修 xiū
闭 bì
胜 shèng
授 shòu
陆 lù
充 chōng
满 mǎn
逐 zhú
渐 jiàn
冷 lěng
落 là
舍 shě
小 xiǎo
描 miáo
灵 líng
性 xìng
应 yīng
邀 yāo
梁 liáng
秋 qiū
坐 zuò
滑 huá
竿 gān
八 bā
茗 míng
临 lín
窗 chuāng
钓 diào
潭 tán
鲤 lǐ
鱼 yú
给 gěi
傅 fù
做 zuò
河 hé
水 shuǐ
煮 zhǔ
迎 yíng
墙 qiáng
幅 fú
遒 qiú
劲 jìn
泉 quán
香 xiāng
渴 kě
候 hòu
坡 pō
简 jiǎn
陋 lòu
氛 fēn
副 fù
联 lián
烹 pēng
宜 yí
竹 zhú
翻 fān
羽 yǔ
卢 lú
仝 tóng
片 piàn
涛 tāo
野 yě
光 guāng
陶 táo
醉 zuì
面 miàn
阡 qiān
纵 zòng
横 héng
稻 dào
花 huā
飘 piāo
牧 mù
笛 dí
悠 yōu
株 zhū
抱 bào
榕 róng
挡 dǎng
住 zhù
凉 liáng
拂 fú
炎 yán
盛 shèng
夏 xià
森 sēn
袭 xí
吊 diào
脚 jiǎo
栋 dòng
悬 xuán
崖 yá
妈 mā
送 sòng
懂 dǒng
体 tǐ
缺 quē
伴 bàn
随 suí
岁 suì
躲 duǒ
避 bì
轰 hōng
炸 zhà
疏 shū
散 sàn
诉 sù
粮 liáng
备 bèi
掏 tāo
轻 qīng
累 léi
饿 è
戴 dài
眼 yǎn
镜 jìng
头 tóu
扣 kòu
顶 dǐng
