当 dāng
嫁 jià
粗 cū
秽 huì
丢 diū
唉 āi
怄 òu
睦 mù
愉 yú
悦 yuè
秃 tū
亩 mǔ
梯 tī
柿 shì
桃 táo
栗 lì
杏 xìng
梅 méi
棵 kē
贯 guàn
池 chí
牡 mǔ
冬 dōng
旷 kuàng
桥 qiáo
沥 lì
竣 jùn
姐 jiě
妹 mèi
胳 gā
膊 bó
滴 dī
汗 hàn
肆 sì
虐 nüè
委 wěi
邵 shào
懋 mào
癌 ái
赴 fù
淀 diàn
燃 rán
腔 qiāng
淹 yān
罕 hǎn
储 chǔ
豪 háo
鸟 niǎo
佩 pèi
巾 jīn
靛 diàn
跃 yuè
朱 zhū
棠 táng
梨 lí
槐 huái
椿 chūn
透 tòu
峪 yù
盎 àng
勃 bó
沸 fèi
旬 xún
伍 wǔ
谅 liàng
椅 yǐ
柜 guì
秩 zhì
抬 tái
扩 kuò
攘 rǎng
葡 pú
萄 táo
挫 cuò
吨 dūn
顷 qǐng
冒 mào
劣 liè
滥 làn
酵 jiào
脆 cuì
档 dàng
忠 zhōng
须 xū
竞 jìng
坊 fāng
瓶 píng
酗 xù
掀 xiān
亡 wáng
轿 jiào
瑞 ruì
俄 é
澳 ào
寰 huán
沪 hù
械 xiè
掌 zhǎng
隧 suì
础 chǔ
软 ruǎn
估 gū
廓 kuò
轨 guǐ
允 yǔn
践 jiàn
磁 cí
网 wǎng
讨 tǎo
圳 zhèn
赃 zāng
配 pèi
府 fǔ
摊 tān
租 zū
辽 liáo
逛 guàng
镇 zhèn
剂 jì
惠 huì
纺 fǎng
脑 nǎo
蚤 zǎo
羞 xiū
洽 qià
税 shuì
麦 mài
赚 zhuàn
渗 shèn
赋 fù
萎 wěi
鲁 lǔ
淘 táo
汰 tài
酌 zhuó
拣 jiǎn
垃 lā
圾 jī
蝴 hú
涧 jiàn
惚 hū
掳 lǔ
僵 jiāng
扑 pū
祝 zhù
葬 zàng
桶 tǒng
翅 chì
毙 bì
爸 bà
捉 zhuō
坪 píng
蚁 yǐ
冶 yě
魂 hún
嗡 wēng
嘤 yīng
捕 bǔ
逗 dòu
臾 yú
唤 huàn
恬 tián
氤 yīn
氲 yūn
翼 yì
勒 lè
弧 hú
圈 quān
瞬 shùn
潢 huáng
宙 zhòu
拼 pīn
凑 còu
痣 zhì
翩 piān
烧 shāo
朵 duǒ
熠 yì
歇 xiē
逍 xiāo
炊 chuī
粹 cuì
笺 jiān
骄 jiāo
喧 xuān
嚣 xiāo
赫 hè
课 kè
涩 sè
聆 líng
孕 yùn
猎 liè
襄 xiāng
吴 wú
庞 páng
冯 féng
庸 yōng
闵 mǐn
祚 zuò
庥 xiū
苗 miáo
讯 xùn
钢 gāng
挨 āi
靡 mí
玻 bō
璃 lí
橱 chú
苑 yuàn
畏 wèi
逼 bī
迫 pò
薄 báo
甸 diàn
拔 bá
萃 cuì
框 kuàng
暮 mù
恋 liàn
弯 wān
慌 huāng
踢 tī
虎 hǔ
拘 jū
嘀 dí
咕 gū
厉 lì
毫 háo
铭 míng
夸 kuā
奖 jiǎng
寥 liáo
猛 měng
劫 jié
夹 jiā
倡 chàng
漂 piāo
吻 wěn
慑 shè
阅 yuè
盟 méng
援 yuán
沃 wò
奈 nài
吁 xū
俘 fú
虏 lǔ
汹 xiōng
剩 shèng
测 cè
撑 chēng
驴 lǘ
伊 yī
豫 yù
瞌 kē
缝 féng
痴 chī
狭 xiá
抵 dǐ
御 yù
禄 lù
斥 chì
霸 bà
溺 nì
膨 péng
胀 zhàng
屁 pì
债 zhài
爆 bào
叩 kòu
贺 hè
锥 zhuī
廷 tíng
棘 jí
扭 niǔ
蒸 zhēng
败 bài
混 hùn
淆 xiáo
帆 fān
钟 zhōng
吕 lǚ
硝 xiāo
淮 huái
役 yì
毋 wú
宁 níng
诠 quán
阐 chǎn
赣 gàn
墩 dūn
航 háng
徽 huī
巢 cháo
瓢 piáo
泥 ní
汊 chà
渡 dù
坂 bǎn
矶 jī
瓣 bàn
怨 yuàn
枪 qiāng
艄 shāo
桨 jiǎng
烂 làn
苔 tái
藓 xiǎn
渣 zhā
峥 zhēng
嵘 róng
砌 qì
彭 péng
聂 niè
臻 zhēn
澜 lán
柄 bǐng
剑 jiàn
竖 shù
坨 tuó
佐 zuǒ
殉 xùn
吓 xià
荆 jīng
茅 máo
斫 zhuó
勘 kān
嶂 zhàng
崎 qí
岖 qū
擦 cā
巅 diān
鼻 bí
灿 càn
晰 xī
瞧 qiáo
矮 ǎi
呀 yā
陕 shǎn
皂 zào
壶 hú
葛 gé
暑 shǔ
璋 zhāng
棣 dì
挺 tǐng
齿 chǐ
凛 lǐn
丑 chǒu
睹 dǔ
戒 jiè
奢 shē
勿 wù
翘 qiáo
鄙 bǐ
垢 gòu
蓄 xù
檐 yán
栖 qī
棚 péng
谎 huǎng
萧 xiāo
瑟 sè
秧 yāng
鸽 gē
蜀 shǔ
箪 dān
菩 pú
萨 sà
哗 huá
滔 tāo
坑 kēng
槛 jiàn
跪 guì
倭 wō
抛 pāo
僚 liáo
虫 chóng
荫 yīn
脂 zhī
膏 gāo
蜈 wú
蚣 gōng
渔 yú
狗 gǒu
铜 tóng
墟 xū
曹 cáo
璀 cuǐ
璨 càn
傻 shǎ
呕 ǒu
抄 chāo
曝 pù
娘 niáng
赛 sài
键 jiàn
割 gē
垄 lǒng
搏 bó
讴 ōu
躁 zào
哆 duō
咪 mī
惹 rě
烫 tàng
抒 shū
甲 jiǎ
乙 yǐ
锋 fēng
莲 lián
垦 kěn
植 zhí
耕 gēng
邱 qiū
漏 lòu
氏 shì
锄 chú
眠 mián
慢 màn
蔬 shū
垫 diàn
畦 qí
卜 bǔ
帘 lián
豌 wān
狠 hěn
湘 xiāng
湖 hú
堵 dǔ
订 dìng
拳 quán
菱 líng
棉 mián
畈 fàn
垠 yín
膜 mó
昕 xīn
酉 yǒu
铸 zhù
缴 jiǎo
盂 yú
苌 cháng
窑 yáo
蔡 cài
桩 zhuāng
摁 èn
申 shēn
仔 zī
贸 mào
眉 méi
骗 piàn
肚 dù
皖 wǎn
陵 líng
谣 yáo
芋 yù
旱 hàn
柴 chái
盆 pén
菠 bō
韭 jiǔ
茬 chá
枣 zǎo
葫 hú
贷 dài
粒 lì
匀 yún
耧 lóu
稼 jià
啤 pí
烘 hōng
苹 píng
屿 yǔ
莒 jǔ
弓 gōng
籽 zǐ
滞 zhì
笃 dǔ
邮 yóu
愕 è
拦 lán
谊 yì
俑 yǒng
挖 wā
睁 zhēng
亟 jí
鞭 biān
肺 fèi
腑 fǔ
咸 xián
荤 hūn
糖 táng
糕 gāo
蛋 dàn
盏 zhǎn
汤 tāng
拌 bàn
锃 zèng
泞 nìng
芭 bā
鄂 è
洼 wā
颠 diān
簸 bò
侄 zhí
蹴 cù
昌 chāng
罚 fá
拈 niān
遵 zūn
迭 dié
赖 lài
铮 zhēng
迁 qiān
彰 zhāng
顽 wán
濡 rú
沫 mò
脏 zāng
抉 jué
沂 yí
玲 líng
赊 shē
辰 chén
巩 gǒng
腿 tuǐ
蜡 là
拾 shí
躺 tǎng
雇 gù
襟 jīn
纫 rèn
衔 xián
坷 kē
寡 guǎ
滹 hū
沱 tuó
砀 dàng
扼 è
筋 jīn
酥 sū
芙 fú
蓉 róng
酬 chóu
暇 xiá
耘 yún
妆 zhuāng
押 yā
湛 zhàn
饲 sì
筐 kuāng
喃 nán
箢 wǎn
箕 jī
靶 bǎ
颁 bān
署 shǔ
炒 chǎo
畸 jī
邪 xié
疯 fēng
捆 kǔn
吆 yāo
帷 wéi
刁 diāo
沛 pèi
啁 zhōu
啾 jiū
柞 zuò
蚕 cán
瓦 wǎ
迥 jiǒng
憋 biē
噘 juē
廛 chán
沈 shěn
泳 yǒng
枢 shū
纽 niǔ
钉 dīng
椽 chuán
盼 pàn
熄 xī
舶 bó
览 lǎn
瞩 zhǔ
琦 qí
崛 jué
赁 lìn
馈 kuì
蜕 tuì
蛙 wā
挽 wǎn
杜 dù
函 hán
饪 rèn
罔 wǎng
荐 jiàn
酮 tóng
携 xié
盐 yán
棒 bàng
莱 lái
穆 mù
熏 xūn
黎 lí
斋 zhāi
蟠 pán
踞 jù
黔 qián
辖 xiá
驿 yì
芮 ruì
倘 tǎng
鹊 què
遴 lín
荧 yíng
浙 zhè
泠 líng
荟 huì
杭 háng
亥 hài
敏 mǐn
阜 fù
苫 shān
渍 zì
溅 jiàn
藉 jiè
骑 qí
捧 pěng
腹 fù
擅 shàn
囚 qiú
潇 xiāo
奸 jiān
耍 shuǎ
韧 rèn
宰 zǎi
篮 lán
炙 zhì
哄 hōng
噪 zào
斐 fěi
耿 gěng
寿 shòu
寺 sì
矜 jīn
尴 gān
尬 gà
绣 xiù
瓷 cí
泰 tài
耄 mào
耋 dié
恳 kěn
筚 bì
霉 méi
蛀 zhù
掣 chè
隅 yú
暂 zàn
虞 yú
茏 lóng
砸 zá
伐 fá
贮 zhù
孜 zī
坝 bà
穗 suì
锯 jù
愣 lèng
凳 dèng
羔 gāo
犊 dú
炕 kàng
煞 shā
拴 shuān
聊 liáo
娶 qǔ
馋 chán
俺 ǎn
攒 zǎn
串 chuàn
趁 chèn
粥 zhōu
碱 jiǎn
瘦 shòu
秆 gǎn
窘 jiǒng
绵 mián
薯 shǔ
宪 xiàn
吩 fēn
咐 fù
黝 yǒu
缸 gāng
灶 zào
垒 lěi
筷 kuài
窿 lóng
粪 fèn
坯 pī
漆 qī
秸 jiē
佝 gōu
偻 lǚ
兮 xī
扉 fēi
桐 tóng
镶 xiāng
嵌 qiàn
黛 dài
讹 é
冤 yuān
臆 yì
婴 yīng
迪 dí
汪 wāng
拮 jié
胫 jìng
瘤 liú
脊 jǐ
砚 yàn
侈 chǐ
贿 huì
沭 shù
婪 lán
胃 wèi
嗦 suō
颤 chàn
抖 dǒu
屉 tì
涣 huàn
嫉 jí
妒 dù
赂 lù
刑 xíng
弊 bì
琼 qióng
刹 chà
粳 jīng
囤 dùn
芒 máng
霄 xiāo
漳 zhāng
擞 sòu
樊 fán
鳖 biē
涨 zhǎng
蟹 xiè
乌 wū
寝 qǐn
泵 bèng
涝 lào
臧 zāng
遣 qiǎn
檀 tán
樟 zhāng
楠 nán
盒 hé
募 mù
崭 zhǎn
裤 kù
菊 jú
町 tǐng
荏 rěn
苒 rǎn
俊 jùn
掖 yè
馍 mó
瘫 tān
傍 bàng
衫 shān
褴 lán
褛 lǚ
夷 yí
匪 fěi
哉 zāi
卓 zhuó
媒 méi
拆 chāi
彤 tóng
逃 táo
岳 yuè
徕 lài
邯 hán
郸 dān
宅 zhái
盗 dào
舌 shé
锡 xī
鹅 é
屡 lǚ
惩 chéng
禺 yú
乾 qián
贝 bèi
茹 rú
魔 mó
亭 tíng
钵 bō
昭 zhāo
熬 āo
珊 shān
泊 bó
昆 kūn
靳 jìn
呱 guā
坠 zhuì
锣 luó
靖 jìng
挪 nuó
簿 bù
徇 xùn
杆 gān
菌 jūn
焚 fén
孢 bāo
堤 dī
踊 yǒng
蘑 mó
菇 gū
喘 chuǎn
埠 bù
罐 guàn
姚 yáo
岙 ào
陉 xíng
跻 jī
鑫 xīn
俏 qiào
睐 lài
愤 fèn
禽 qín
链 liàn
喂 wèi
拱 gǒng
掺 chān
挎 kuà
蹲 dūn
磋 cuō
侮 wǔ
斌 bīn
菁 jīng
炉 lú
愚 yú
陇 lǒng
尹 yǐn
薛 xuē
岐 qí
洛 luò
梧 wú
凰 huáng
禾 hé
褥 rù
渭 wèi
腼 miǎn
腆 tiǎn
讽 fěng
伦 lún
浏 liú
烁 shuò
澡 zǎo
粽 zòng
蘸 zhàn
饼 bǐng
饺 jiǎo
扳 bān
寐 mèi
浃 jiā
懈 xiè
暨 jì
弘 hóng
堰 yàn
煤 méi
炭 tàn
叨 tāo
歹 dǎi
烦 fán
腌 ā
窃 qiè
迟 chí
蜘 zhī
蛛 zhū
钩 gōu
苇 wěi
萍 píng
枚 méi
缄 jiān
踵 zhǒng
翁 wēng
谦 qiān
巡 xún
曳 yè
萋 qī
衬 chèn
巍 wēi
趟 tàng
碌 lù
锈 xiù
铿 kēng
锵 qiāng
棱 léng
岚 lán
攸 yōu
俱 jù
淤 yū
啥 shá
饶 ráo
兆 zhào
稽 jī
臣 chén
竽 yú
谏 jiàn
卯 mǎo
堡 bǎo
匈 xiōng
虹 hóng
熊 xióng
猫 māo
拧 níng
壤 rǎng
迄 qì
埃 āi
翡 fěi
镯 zhuó
釉 yòu
脍 kuài
媛 yuàn
钧 jūn
卿 qīng
曼 màn
廖 liào
猩 xīng
浦 pǔ
坎 kǎn
砾 lì
筛 shāi
肮 āng
讶 yà
踩 cǎi
蒂 dì
盯 dīng
彬 bīn
嗓 sǎng
秒 miǎo
跷 qiāo
拇 mǔ
蛎 lì
菏 hé
卉 huì
藕 ǒu
兔 tù
溉 gài
汾 fén
礁 jiāo
秤 chèng
恪 kè
樯 qiáng
桅 wéi
蚊 wén
蝇 yíng
裴 péi
厕 cè
汀 tīng
鲳 chāng
鲢 lián
沼 zhǎo
雏 chú
坟 fén
韶 sháo
啼 tí
覃 tán
毒 dú
勋 xūn
痹 bì
惕 tì
竭 jié
厄 è
舵 duò
嗅 xiù
艘 sōu
墅 shù
粘 nián
帜 zhì
屠 tú
幢 chuáng
哩 li
呗 bei
腊 là
棍 gùn
撬 qiào
跺 duò
庐 lú
枞 cōng
妄 wàng
孟 mèng
窜 cuàn
噬 shì
瘠 jí
戎 róng
倥 kōng
偬 zǒng
恤 xù
崮 gù
伫 zhù
缅 miǎn
畹 wǎn
傣 dǎi
彝 yí
侨 qiáo
杠 gàng
徘 pái
徊 huái
滇 diān
扇 shàn
厘 lí
箭 jiàn
筒 tǒng
逞 chěng
晃 huǎng
笼 lóng
罩 zhào
逆 nì
鼎 dǐng
辐 fú
鹏 péng
肿 zhǒng
撂 liào
孱 chán
腺 xiàn
劈 pī
柬 jiǎn
稚 zhì
髓 suǐ
坤 kūn
浸 jìn
蚀 shí
骼 gé
绊 bàn
骇 hài
脾 pí
砥 dǐ
砺 lì
歧 qí
睢 huī
曙 shǔ
碟 dié
拟 nǐ
髦 máo
滤 lǜ
鲇 nián
泯 mǐn
惰 duò
舱 cāng
佼 jiǎo
歉 qiàn
骚 sāo
咬 yǎo
纲 gāng
圭 guī
玛 mǎ
弗 fú
璞 pú
莘 shēn
媲 pì
逮 dài
滕 téng
叽 jī
噜 lū
侠 xiá
锏 jiǎn
蒋 jiǎng
旭 xù
褚 zhǔ
贬 biǎn
瑛 yīng
嘭 pēng
泄 xiè
钰 yù
艾 ài
狮 shī
琪 qí
敖 áo
澄 chéng
哨 shào
淑 shū
胁 xié
龚 gōng
跛 bǒ
咄 duō
炯 jiǒng
怵 chù
帕 pà
黯 àn
韬 tāo
晦 huì
潘 pān
叉 chā
珀 pò
冕 miǎn
凯 kǎi
莉 lì
鲍 bào
孰 shú
颓 tuí
膝 xī
夭 yāo
璇 xuán
琳 lín
娜 nà
哽 gěng
莎 suō
冉 rǎn
奠 diàn
姆 mǔ
帅 shuài
铲 chǎn
锴 kǎi
蔷 qiáng
薇 wēi
倩 qiàn
汝 rǔ
氵 shuǐ
咏 yǒng
橡 xiàng
糅 róu
硫 liú
骆 luò
烙 lào
坳 ào
兜 dōu
扛 káng
驮 tuó
柘 zhè
隙 xì
呵 hē
朦 méng
胧 lóng
梆 bāng
梭 suō
辂 lù
呜 wū
酣 hān
孪 luán
哺 bǔ
扮 bàn
幄 wò
稔 rěn
扁 biǎn
褐 hè
珑 lóng
拙 zhuō
纬 wěi
荷 hé
搂 lǒu
舰 jiàn
艇 tǐng
潸 shān
韫 yùn
泫 xuàn
匮 kuì
乒 pīng
乓 pāng
寅 yín
啃 kěn
榻 tà
篑 kuì
斟 zhēn
昱 yù
闽 mǐn
袍 páo
铨 quán
殆 dài
跆 tái
跤 jiāo
券 quàn
腕 wàn
簧 huáng
璐 lù
鹂 lí
渝 yú
焉 yān
滂 pāng
擂 léi
狱 yù
瀚 hàn
醇 chún
霍 huò
埂 gěng
氓 méng
匾 biǎn
烨 yè
磊 lěi
郝 hǎo
晟 shèng
昊 hào
螺 luó
蛳 sī
壳 ké
蜗 wō
咳 ké
遛 liù
弈 yì
雯 wén
牍 dú
阪 bǎn
讳 huì
诀 jué
炜 wěi
魁 kuí
镖 biāo
燎 liáo
粤 yuè
兹 zī
蔓 màn
霖 lín
卸 xiè
犄 jī
霾 mái
勰 xié
擘 bò
糙 cāo
撮 cuō
茎 jīng
悯 mǐn
茔 yíng
逶 wēi
迤 yǐ
怠 dài
绺 liǔ
涸 hé
肠 cháng
蓊 wěng
徙 xǐ
贱 jiàn
蛇 shé
旮 gā
旯 lá
馅 xiàn
濯 zhuó
戟 jǐ
崩 bēng
峨 é
甫 fǔ
沌 dùn
缥 piǎo
缈 miǎo
谪 zhé
宠 chǒng
仕 shì
缗 mín
偃 yǎn
渑 miǎn
贻 yí
曦 xī
胴 dòng
姊 zǐ
嘈 cáo
洱 ěr
孵 fū
簇 cù
拗 ǎo
剔 tī
袄 ǎo
婿 xù
嗜 shì
蜚 fēi
悼 dào
抑 yì
溘 kè
圃 pǔ
絮 xù
彗 huì
宸 chén
滢 yíng
丙 bǐng
磺 huáng
伺 sì
盔 kuī
轴 zhóu
拭 shì
睿 ruì
丕 pī
葩 pā
闰 rùn
羿 yì
崔 cuī
珲 hún
雁 yàn
伞 sǎn
旖 yǐ
旎 nǐ
奎 kuí
倪 ní
茨 cí
喀 kā
邢 xíng
彦 yàn
焊 hàn
抡 lūn
镐 gǎo
圪 gē
茧 jiǎn
耙 bà
夙 sù
缆 lǎn
姹 chà
恃 shì
铝 lǚ
涤 dí
厌 yàn
挠 náo
蹬 dēng
冽 liè
莓 méi
氯 lǜ
氟 fú
烃 tīng
雌 cí
胎 tāi
兑 duì
溃 kuì
忱 chén
扪 mén
癖 pǐ
钙 gài
尿 niào
椎 zhuī
铢 zhū
镕 róng
烷 wán
氰 qíng
钠 nà
俞 yú
拯 zhěng
溯 sù
瑰 guī
晒 shài
脖 bó
帐 zhàng
杉 shān
窥 kuī
韦 wéi
咖 kā
啡 fēi
绑 bǎng
钮 niǔ
丫 yā
鬓 bìn
谴 qiǎn
孚 fú
藐 miǎo
潞 lù
莠 yǒu
嬗 shàn
骥 jì
涓 juān
俨 yǎn
闺 guī
芸 yún
谭 tán
叙 xù
蛾 é
冥 míng
盅 zhōng
诵 sòng
撩 liāo
吟 yín
弛 chí
沁 qìn
蛮 mán
昧 mèi
戮 lù
籁 lài
麟 lín
煎 jiān
琐 suǒ
磅 bàng
礴 bó
悸 jì
苕 tiáo
鲸 jīng
璧 bì
炬 jù
掰 bāi
揉 róu
怯 qiè
洵 xún
罄 qìng
捶 chuí
铃 líng
趴 pā
奄 yǎn
汕 shàn
谜 mí
篷 péng
肾 shèn
茸 róng
燥 zào
赘 zhuì
汛 xùn
赡 shàn
娩 miǎn
揣 chuǎi
荔 lì
晕 yùn
锹 qiāo
淄 zī
烯 xī
彪 biāo
苎 zhù
芹 qín
蔗 zhè
锌 xīn
磷 lín
肪 fáng
溶 róng
碘 diǎn
禧 xǐ
纤 xiān
孬 nāo
甭 béng
咂 zā
碓 duì
辍 chuò
篆 zhuàn
蠡 lǐ
玺 xǐ
囿 yòu
锲 qiè
鬟 huán
祈 qí
掇 duō
桠 yā
桦 huà
宕 dàng
愫 sù
莽 mǎng
赝 yàn
岑 cén
澹 dàn
鹤 hè
杼 zhù
隽 jùn
羁 jī
琅 láng
耆 qí
嘹 liáo
犁 lí
陲 chuí
侗 dòng
芷 zhǐ
稞 kē
珞 luò
糌 zān
粑 bā
椒 jiāo
熔 róng
缔 dì
阙 quē
詹 zhān
坞 wù
仑 lún
痪 huàn
掷 zhì
捍 hàn
赦 shè
幌 huǎng
缉 jī
氦 hài
闩 shuān
硅 guī
芯 xīn
梗 gěng
妪 yù
枭 xiāo
碳 tàn
麸 fū
闸 zhá
娅 yà
朔 shuò
氢 qīng
绌 chù
缭 liáo
楷 kǎi
锂 lǐ
锶 sī
硒 xī
锗 zhě
锰 měng
酶 méi
馏 liù
嶷 yí
猗 yī
嵋 méi
茄 qié
钛 tài
鞍 ān
榫 sǔn
阀 fá
镁 měi
桎 zhì
梏 gù
蒲 pú
觑 qù
猿 yuán
颚 è
殄 tiǎn
吝 lìn
竺 zhú
祷 dǎo
棺 guān
镑 bàng
粱 liáng
唆 suō
睫 jié
渥 wò
煽 shān
敛 liǎn
殃 yāng
垮 kuǎ
侥 jiǎo
倚 yǐ
倏 shū
姨 yí
揩 kāi
崽 zǎi
钥 yuè
匙 chí
咯 kǎ
吱 zhī
咚 dōng
嚷 rǎng
咣 guāng
揪 jiū
帼 guó
淫 yín
谩 mán
殴 ōu
剃 tì
舅 jiù
翌 yì
炖 dùn
惦 diàn
爹 diē
瑶 yáo
柚 yòu
姣 jiāo
蓑 suō
勐 měng
傈 lì
僳 sù
佤 wǎ
葵 kuí
珮 pèi
陀 tuó
攫 jué
彀 gòu
匿 nì
肇 zhào
缪 móu
濒 bīn
爪 zhǎo
蔑 miè
侦 zhēn
眩 xuàn
贼 zéi
镀 dù
胱 guāng
苷 gān
肽 tài
崴 wǎi
醛 quán
糠 kāng
轧 gá
笤 tiáo
帚 zhǒu
啬 sè
岌 jí
盹 dǔn
猴 hóu
磕 kē
碴 chá
俾 bǐ
衅 xìn
捂 wǔ
垣 yuán
瑙 nǎo
皎 jiǎo
阂 hé
玫 méi
怔 zhēng
酋 qiú
猖 chāng
涎 xián
绅 shēn
忡 chōng
飙 biāo
叻 lè
衍 yǎn
瑚 hú
禀 bǐng
冗 rǒng
漯 luò
渤 bó
鸿 hóng
庖 páo
扈 hù
飒 sà
缨 yīng
炳 bǐng
耦 ǒu
膀 bǎng
膳 shàn
胪 lú
茵 yīn
娑 suō
偌 ruò
呐 nà
枫 fēng
绷 bēng
狩 shòu
湟 huáng
氮 dàn
钾 jiǎ
獗 jué
榷 què
玮 wěi
帙 zhì
谟 mó
佣 yōng
雹 báo
鄱 pó
晾 liàng
诰 gào
邹 zōu
歼 jiān
贲 bì
遨 áo
匣 xiá
檩 lǐn
栓 shuān
铆 mǎo
佗 tuó
卞 biàn
抨 pēng
珩 héng
妫 guī
埙 xūn
蹊 qī
俐 lì
珈 jiā
氨 ān
卟 bǔ
啉 lán
镍 niè
穴 xué
疴 kē
渚 zhǔ
荨 qián
胰 yí
藻 zǎo
梳 shū
恣 zì
缮 shàn
坍 tān
稷 jì
牦 máo
卤 lǔ
怆 chuàng
擎 qíng
颐 yí
岷 mín
岱 dài
篝 gōu
迸 bèng
膺 yīng
楹 yíng
绂 fú
澎 péng
湃 pài
轼 shì
泾 jīng
瘁 cuì
姬 jī
漾 yàng
宵 xiāo
甬 yǒng
眸 móu
馥 fù
楞 léng
兢 jīng
楫 jí
绶 shòu
惬 qiè
郅 zhì
庚 gēng
撵 niǎn
颅 lú
鲭 qīng
犀 xī
禹 yǔ
圻 qí
哇 wā
匡 kuāng
谍 dié
瑜 yú
缜 zhěn
捣 dǎo
邡 fāng
翟 dí
砭 biān
熹 xī
罂 yīng
粟 sù
枉 wǎng
诿 wěi
琛 chēn
睽 kuí
阮 ruǎn
蕙 huì
蔼 ǎi
霆 tíng
偕 xié
貂 diāo
娉 pīng
鬣 liè
诽 fěi
谤 bàng
煲 bāo
椰 yē
葺 qì
槌 chuí
饬 chì
嵩 sōng
眷 juàn
煜 yù
袤 mào
伉 kàng
俪 lì
捅 tǒng
懵 měng
粼 lín
畲 shē
橄 gǎn
榄 lǎn
桔 jié
挝 zhuā
咆 páo
哮 xiào
枇 pí
杷 pá
莆 pú
箫 xiāo
铙 náo
磬 qìng
邑 yì
铧 huá
湄 méi
栾 luán
炽 chì
噙 qín
笆 bā
痱 fèi
屎 shǐ
馁 něi
昀 yún
垸 yuàn
沔 miǎn
憧 chōng
憬 jǐng
璜 huáng
湎 miǎn
幡 fān
篡 cuàn
谬 miù
诬 wū
绞 jiǎo
剿 jiǎo
尉 wèi
悖 bèi
渲 xuàn
挞 tà
鹃 juān
岔 chà
睬 cǎi
乖 guāi
皱 zhòu
诎 qū
骸 hái
泸 lú
摞 luò
蔺 lìn
燮 xiè
瞥 piē
丞 chéng
妍 yán
膘 biāo
缳 huán
韪 wěi
眯 mī
惮 dàn
卒 zú
狐 hú
檄 xí
兖 yǎn
衢 qú
篪 chí
焘 dào
皓 hào
绥 suí
浚 jùn
霈 pèi
猷 yóu
卅 sà
霓 ní
聿 yù
堀 kū
淬 cuì
彷 páng
徨 huáng
葆 bǎo
鹳 guàn
唁 yàn
荻 dí
祠 cí
锷 è
帖 tiè
潍 wéi
镰 lián
皋 gāo
殡 bìn
焯 zhuō
樵 qiáo
甄 zhēn
祺 qí
杲 gǎo
噶 gá
驹 jū
豹 bào
羚 líng
搓 cuō
琏 liǎn
箔 bó
轫 rèn
霹 pī
雳 lì
涟 lián
漪 yī
痼 gù
裨 bì
俎 zǔ
怦 pēng
犷 guǎng
麋 mí
怂 sǒng
笨 bèn
卵 luǎn
腈 jīng
纶 lún
屹 yì
荪 sūn
诛 zhū
辫 biàn
谕 yù
褂 guà
棰 chuí
棕 zōng
踮 diǎn
捋 luō
嗯 ǹg
橘 jú
裙 qún
焙 bèi
挈 qiè
堕 duò
茁 zhuó
骷 kū
髅 lóu
圹 kuàng
罹 lí
搪 táng
暧 ài
邸 dǐ
戍 shù
阑 lán
骟 shàn
芗 xiāng
蝉 chán
郏 jiá
蚌 bàng
奚 xī
碉 diāo
荼 tú
嘘 xū
睑 jiǎn
霭 ǎi
赈 zhèn
窨 yìn
筝 zhēng
忏 chàn
鹦 yīng
鹉 wǔ
鳟 zūn
鲑 guī
茴 huí
鲈 lú
饵 ěr
蜻 qīng
蜓 tíng
邂 xiè
逅 hòu
忖 cǔn
诡 guǐ
裘 qiú
啄 zhuó
琉 liú
栉 zhì
绛 jiàng
涑 sù
袒 tǎn
柑 gān
凼 dàng
闳 hóng
桢 zhēn
濠 háo
祀 sì
铣 xiǎn
瞰 kàn
萦 yíng
邝 kuàng
敷 fū
疟 nüè
婷 tíng
酱 jiàng
耪 pǎng
惶 huáng
贞 zhēn
壹 yī
仟 qiān
蕊 ruǐ
蓓 bèi
褶 zhě
磐 pán
榉 jǔ
庇 bì
咛 níng
诅 zǔ
咒 zhòu
煦 xù
镂 lòu
瘟 wēn
幛 zhàng
慵 yōng
淇 qí
妖 yāo
赭 zhě
栅 zhà
苞 bāo
鱿 yóu
湍 tuān
娓 wěi
芾 fèi
狡 jiǎo
狯 kuài
裱 biǎo
咧 liě
芫 yuán
贰 èr
榴 liú
晌 shǎng
妮 nī
恸 tòng
琰 yǎn
歆 xīn
穹 qióng
戾 lì
晏 yàn
觚 gū
霁 jì
舀 yǎo
爵 jué
镉 gé
晁 cháo
蓥 yíng
黠 xiá
眨 zhǎ
锚 máo
笈 jí
麾 huī
汨 mì
裳 cháng
瑾 jǐn
捺 nà
儆 jǐng
窒 zhì
嘶 sī
垛 duǒ
苜 mù
蓿 xù
涕 tì
蠕 rú
蛟 jiāo
抻 chēn
膂 lǚ
赳 jiū
醺 xūn
嗣 sì
奕 yì
塾 shú
蛤 gé
誊 téng
删 shān
铉 xuàn
薰 xūn
诧 chà
狰 zhēng
狞 níng
塬 yuán
奂 huàn
吒 zhā
丐 gài
徜 cháng
徉 yáng
榭 xiè
谧 mì
抿 mǐn
眶 kuàng
卦 guà
邬 wū
妩 wǔ
睨 nì
洌 liè
涪 fú
吮 shǔn
嘟 dū
醍 tí
醐 hú
蹋 tà
诟 gòu
醋 cù
腋 yè
俚 lǐ
蓦 mò
鲫 jì
钝 dùn
肋 lèi
枷 jiā
螃 páng
扒 bā
